version,codigo_ente,codigo,componente,porcentaje_participacion,porcentaje_voto,fuente_alta,inf_fuente_alta,alta_desde
2019/01 situacion a  01/01/2019,05-00-000-B-P-032,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"100,00","100,00",ESCRITURA,de constitución nº 1111 de 11/03/2005,25/07/2005
2019/01 situacion a  01/01/2019,05-35-008-C-C-000,00-00-000-E-E-001,Otras entidades de caracter local (Ayuntamientos),"40,00","40,00",CONVENIO,de 23/01/2002,23/01/2002
2019/01 situacion a  01/01/2019,05-35-008-C-C-000,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"20,00","20,00",CONVENIO,de 23/01/2002,23/01/2002
2019/01 situacion a  01/01/2019,05-35-008-C-C-000,05-35-002-D-D-000,Cabildo Insular de Gran Canaria,"40,00","40,00",CONVENIO,de 23/01/2002,23/01/2002
2019/01 situacion a  01/01/2019,05-38-010-C-C-000,00-00-000-E-E-001,Otras entidades de caracter local,"25,00","84,61",CONVENIO,de 17/05/2000,01/07/2000
2019/01 situacion a  01/01/2019,05-38-010-C-C-000,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"20,00","3,85",CONVENIO,de 17/05/2000,01/07/2000
2019/01 situacion a  01/01/2019,05-38-010-C-C-000,05-38-004-D-D-000,Cabildo Insular de Tenerife,"30,00","7,69",CONVENIO,de 17/05/2000,01/07/2000
2019/01 situacion a  01/01/2019,05-38-010-C-C-000,05-38-038-A-A-000,Santa Cruz de Tenerife,"25,00","3,85",CONVENIO,de 17/05/2000,01/07/2000
2019/01 situacion a  01/01/2019,05-00-000-X-P-038,00-00-000-S-S-000,Estado (Autoridad Portuaria de Las Palmas),"33,34","33,34",ESCRITURA,de constitución nº 123 de 13/01/2003,17/03/2003
2019/01 situacion a  01/01/2019,05-00-000-X-P-038,05-00-000-B-P-015,"Instituto Tecnológico de Canarias, S.A.U. (ITC)","33,33","33,33",ESCRITURA,de constitución nº 123 de 13/01/2003,17/03/2003
2019/01 situacion a  01/01/2019,05-00-000-X-P-038,05-35-002-D-D-000,Cabildo Insular de Gran Canaria,"33,33","33,33",ESCRITURA,de constitución nº 123 de 13/01/2003,17/03/2003
2019/01 situacion a  01/01/2019,05-38-014-C-C-000,00-00-000-E-E-000,Otras entidades de caracter estatal,"45,51","36,37",CONVENIO,de 10/10/1994 BOC nº 145 de 28/11/1994,10/10/1994
2019/01 situacion a  01/01/2019,05-38-014-C-C-000,00-00-000-F-F-000,Privado,"0,00","27,27",ESTATUTOS,de 16 de febrero de 2017,16/02/2017
2019/01 situacion a  01/01/2019,05-38-014-C-C-000,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"27,65","18,18",CONVENIO,de 10/10/1994 BOC nº 145 de 28/11/1994,10/10/1994
2019/01 situacion a  01/01/2019,05-38-014-C-C-000,05-38-004-D-D-000,Cabildo Insular de Tenerife,"13,34","9,09",CONVENIO,de 10/10/1994 BOC nº 145 de 28/11/1994,10/10/1994
2019/01 situacion a  01/01/2019,05-38-014-C-C-000,05-38-023-A-A-000,San Cristóbal de La Laguna,"6,68","9,09",ACUERDO,08/11/1999,08/11/1999
2019/01 situacion a  01/01/2019,05-38-014-C-C-000,05-38-038-A-A-000,Santa Cruz de Tenerife,"6,82","0,00",ACUERDO,1/06/2004,05/08/2004
2019/01 situacion a  01/01/2019,05-00-003-C-C-000,00-00-000-F-F-000,Privado,"0,00","9,52",ORDEN,de 24/04/1998 (B.O.E. de 28/04/1998),28/04/1998
2019/01 situacion a  01/01/2019,05-00-003-C-C-000,00-00-000-S-S-000,Estado,"0,00","38,09",ORDEN,de 24/04/1998 (B.O.E. de 28/04/1998),28/04/1998
2019/01 situacion a  01/01/2019,05-00-003-C-C-000,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"0,00","4,76",ORDEN,de 24/04/1998 (B.O.E. de 28/04/1998),28/04/1998
2019/01 situacion a  01/01/2019,05-00-003-C-C-000,05-35-002-A-A-000,Agüimes,"0,00","9,53",ESTATUTOS,de 01/01/2004,01/01/2004
2019/01 situacion a  01/01/2019,05-00-003-C-C-000,05-35-002-D-D-000,Cabildo Insular de Gran Canaria,"0,00","28,57",ORDEN,de 24/04/1998 (B.O.E. de 28/04/1998),28/04/1998
2019/01 situacion a  01/01/2019,05-00-003-C-C-000,05-35-016-A-A-000,Palmas de Gran Canaria (Las),"0,00","9,53",ORDEN,de 24/04/1998 (B.O.E. de 28/04/1998),28/04/1998
2019/01 situacion a  01/01/2019,05-00-000-B-P-001,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"100,00","100,00",ESCRITURA,Escr. de ampliación de capital social,01/08/1985
2019/01 situacion a  01/01/2019,05-35-009-C-C-000,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"20,00","20,00",ACUERDO,28.11.2003,06/02/2004
2019/01 situacion a  01/01/2019,05-35-009-C-C-000,05-35-003-D-D-000,Cabildo Insular de Lanzarote,"50,00","50,00",ACUERDO,28.11.2003,06/02/2004
2019/01 situacion a  01/01/2019,05-35-009-C-C-000,05-35-004-A-A-000,Arrecife,"11,00","11,00",ESTATUTOS,06/02/2004,06/02/2004
2019/01 situacion a  01/01/2019,05-35-009-C-C-000,05-35-010-A-A-000,Haría,"1,00","1,00",ESTATUTOS,06/02/2004,06/02/2004
2019/01 situacion a  01/01/2019,05-35-009-C-C-000,05-35-018-A-A-000,San Bartolomé,"3,00","3,00",ESTATUTOS,06/02/2004,06/02/2004
2019/01 situacion a  01/01/2019,05-35-009-C-C-000,05-35-024-A-A-000,Teguise,"5,00","5,00",ESTATUTOS,06/02/2004,06/02/2004
2019/01 situacion a  01/01/2019,05-35-009-C-C-000,05-35-028-A-A-000,Tías,"6,00","6,00",ESTATUTOS,06/02/2004,06/02/2004
2019/01 situacion a  01/01/2019,05-35-009-C-C-000,05-35-029-A-A-000,Tinajo,"1,00","1,00",ESTATUTOS,06/02/2004,06/02/2004
2019/01 situacion a  01/01/2019,05-35-009-C-C-000,05-35-034-A-A-000,Yaiza,"3,00","3,00",ESTATUTOS,06/02/2004,06/02/2004
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"100,00","100,00",ESCRITURA,de constitución nº 1070 de 04/11/1986,17/01/1987
2019/01 situacion a  01/01/2019,05-00-000-X-P-012,00-00-000-F-F-000,Privado,"37,33","37,33",ESCRITURA,de constitución nº 5319 de 03/10/1995,04/09/1996
2019/01 situacion a  01/01/2019,05-00-000-X-P-012,00-00-000-S-S-000,Estado,"28,00","28,00",ESCRITURA,de constitución nº 5319 de 03/10/1995,04/09/1996
2019/01 situacion a  01/01/2019,05-00-000-X-P-012,05-00-000-B-P-015,"Instituto Tecnológico de Canarias, S.A.U. (ITC)","28,00","28,00",ESCRITURA,de constitución nº 5319 de 03/10/1995,04/09/1996
2019/01 situacion a  01/01/2019,05-00-000-X-P-012,05-35-022-A-A-000,Santa Lucía de Tirajana,"6,67","6,67",ESCRITURA,de constitución nº 5319 de 03/10/1995,04/09/1996
2019/01 situacion a  01/01/2019,05-00-000-B-P-022,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"100,00","100,00",ESCRITURA,nº 1074 de 29/05/1996,31/07/1996
2019/01 situacion a  01/01/2019,05-00-000-B-P-018,05-00-000-B-P-008,"S.A.U. de Promoción del Turismo, Naturaleza y Ocio (SATURNO)","54,02","54,02",ESCRITURA,de constitución nº 2154 de 30/12/1993,09/04/1994
2019/01 situacion a  01/01/2019,05-00-000-B-P-018,05-35-019-A-A-000,San Bartolomé de Tirajana,"45,98","45,98",ESCRITURA,nº 3237 de 30/10/1995,16/05/2001
2019/01 situacion a  01/01/2019,05-00-000-B-P-034,05-00-000-B-U-003,Radiotelevisión Canaria (RTVC),"100,00","100,00",ESCRITURA,de constitución nº 2517 de 19/07/2007,07/08/2007
2019/01 situacion a  01/01/2019,05-00-000-B-P-004,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"63,24","63,24",REAL DECRETO,"810/1985, 30-4, BOE nº 132 de 03/06/1985",03/06/1985
2019/01 situacion a  01/01/2019,05-00-000-B-P-004,05-00-000-B-P-001,"Viviendas Sociales e Infraestructuras de Canarias, S.A.U.(VISOCAN)","4,44","4,44",REAL DECRETO,"810/1985, 30-4, BOE nº 132, 03/06/1985",03/06/1985
2019/01 situacion a  01/01/2019,05-00-000-B-P-004,05-00-000-B-P-004,"Gestión Urbanística de Santa Cruz de Tenerife, S.A. (GESTUR-TENERIFE)","3,89","3,89",ESCRITURA,compraventa de participaciones,01/08/2006
2019/01 situacion a  01/01/2019,05-00-000-B-P-004,05-38-003-D-D-000,Cabildo Insular de La Palma,"2,22","2,22",REAL DECRETO,"810/1985, 30-4, BOE nº 132 de 03/06/1985",03/06/1985
2019/01 situacion a  01/01/2019,05-00-000-B-P-004,05-38-004-D-D-000,Cabildo Insular de Tenerife,"26,21","26,21",REAL DECRETO,"810/1985, 30-4, BOE nº 132 de 03/06/1985",03/06/1985
2019/01 situacion a  01/01/2019,05-00-000-F-P-030,00-00-000-F-F-000,Privado,"50,00","50,00",ESCRITURA,nº 652 de 10/03/1997,10/03/1997
2019/01 situacion a  01/01/2019,05-00-000-F-P-030,05-00-000-B-P-008,"S.A.U. de Promoción del Turismo, Naturaleza y Ocio (SATURNO)","50,00","50,00",ESCRITURA,nº 652 de 10/03/1997,10/03/1997
2019/01 situacion a  01/01/2019,05-00-000-B-P-025,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"100,00","100,00",ESCRITURA,"nº 1316, de 26/05/2015, amortiz acc.propias",27/05/2015
2019/01 situacion a  01/01/2019,05-00-004-C-C-000,00-00-000-E-E-001,Otras entidades de caracter local,"0,00","18,75",ORDEN,EHA/93/2006 de 18/01 (B.O.E. de 28/01/2006),29/01/2006
2019/01 situacion a  01/01/2019,05-00-004-C-C-000,00-00-000-F-F-000,Privado,"0,00","12,50",ORDEN,EHA/93/2006 de 18/01 (B.O.E. de 28/01/2006),29/01/2006
2019/01 situacion a  01/01/2019,05-00-004-C-C-000,00-00-000-S-S-000,Estado,"0,00","31,25",ORDEN,EHA/93/2006 de 18/01 (B.O.E. de 28/01/2006),29/01/2006
2019/01 situacion a  01/01/2019,05-00-004-C-C-000,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"0,00","6,25",ORDEN,EHA/93/2006 de 18/01 (B.O.E. de 28/01/2006),29/01/2006
2019/01 situacion a  01/01/2019,05-00-004-C-C-000,05-38-004-D-D-000,Cabildo Insular de Tenerife,"0,00","18,75",ORDEN,EHA/93/2006 de 18/01 (B.O.E. de 28/01/2006),29/01/2006
2019/01 situacion a  01/01/2019,05-00-004-C-C-000,05-38-038-A-A-000,Santa Cruz de Tenerife,"0,00","12,50",ORDEN,EHA/93/2006 de 18/01 (B.O.E. de 28/01/2006),29/01/2006
2019/01 situacion a  01/01/2019,05-00-000-B-P-015,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"100,00","100,00",ESCRITURA,de constitución nº 2782 de 28/08/1992,09/12/1992
2019/01 situacion a  01/01/2019,05-00-000-B-P-019,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"36,00","36,00",ESCRITURA,de compraventa de acciones de 15/01/2008,15/01/2008
2019/01 situacion a  01/01/2019,05-00-000-B-P-019,05-00-000-B-P-008,"S.A.U. de Promoción del Turismo, Naturaleza y Ocio (SATURNO)","64,00","64,00",ESCRITURA,de constitución nº 2153 de 30/12/1993,10/03/1994
2019/01 situacion a  01/01/2019,05-00-000-B-P-014,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"100,00","100,00",ESCRITURA,de constitución nº 3022 de 19/11/1991,09/01/1992
2019/01 situacion a  01/01/2019,05-00-000-B-P-028,05-00-000-B-U-003,Radiotelevisión Canaria (RTVC),"100,00","100,00",ESCRITURA,de constitución nº 568 de 12/03/1998,31/03/1998
2019/01 situacion a  01/01/2019,05-00-000-B-P-039,00-00-000-F-F-000,Privado,"0,00","0,00",ESCRITURA,nº 319 de 25/02/2015,07/04/2015
2019/01 situacion a  01/01/2019,05-00-000-B-P-039,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"0,00","0,00",ESCRITURA,nº 319 de 25/02/2015,07/04/2015
2019/01 situacion a  01/01/2019,05-00-000-B-P-039,05-00-000-B-P-025,"Sociedad para el Desarrollo Económico de Canarias, S.A.U. (SODECAN)","0,00","0,00",ESCRITURA,nº 319 de 25/02/2015,07/04/2015
2019/01 situacion a  01/01/2019,05-00-000-B-P-039,05-35-002-A-A-000,Agüimes,"0,00","0,00",ESCRITURA,nº 319 de 25/02/2015,07/04/2015
2019/01 situacion a  01/01/2019,05-00-000-B-P-039,05-35-002-D-D-000,Cabildo Insular de Gran Canaria,"0,00","0,00",ESCRITURA,nº 319 de 25/02/2015,07/04/2015
2019/01 situacion a  01/01/2019,05-00-000-B-P-039,05-35-003-D-D-000,Cabildo Insular de Lanzarote,"0,00","0,00",ESCRITURA,nº 319 de 25/02/2015,07/04/2015
2019/01 situacion a  01/01/2019,05-00-000-B-P-039,05-35-016-A-A-000,Palmas de Gran Canaria (Las),"0,00","0,00",ESCRITURA,nº 319 de 25/02/2015,07/04/2015
2019/01 situacion a  01/01/2019,05-00-000-B-P-039,05-38-003-D-D-000,Cabildo Insular de La Palma,"0,00","0,00",ESCRITURA,nº 319 de 25/02/2015,07/04/2015
2019/01 situacion a  01/01/2019,05-00-000-B-P-039,05-38-004-D-D-000,Cabildo Insular de Tenerife,"0,00","0,00",ESCRITURA,nº 319 de 25/02/2015,07/04/2015
2019/01 situacion a  01/01/2019,05-38-011-C-C-000,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"65,00","65,00",CONVENIO,del convenio de 11/06/1999,11/06/1999
2019/01 situacion a  01/01/2019,05-38-011-C-C-000,05-38-004-D-D-000,Cabildo Insular de Tenerife,"25,00","25,00",CONVENIO,del convenio de 11/06/1999,11/06/1999
2019/01 situacion a  01/01/2019,05-38-011-C-C-000,05-38-026-A-A-000,Orotava (La),"10,00","10,00",CONVENIO,del convenio de 11/06/1999,11/06/1999
2019/01 situacion a  01/01/2019,05-00-000-B-P-037,05-00-000-B-W-002,Universidad de Las Palmas de Gran Canaria,"100,00","100,00",ESCRITURA,de constitución nº 1700 de 07/06/2004,24/12/2004
2019/01 situacion a  01/01/2019,05-00-000-B-P-005,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"100,00","100,00",ESCRITURA,de constitución nº 3355 de 11/10/1984,11/10/1984
2019/01 situacion a  01/01/2019,05-00-000-B-P-010,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"79,20","79,20",ESCRITURA,Escr. de Constitución,15/03/1990
2019/01 situacion a  01/01/2019,05-00-000-B-P-010,05-35-002-D-D-000,Cabildo Insular de Gran Canaria,"10,40","10,40",ESCRITURA,protocolización de acuerdos,29/05/2001
2019/01 situacion a  01/01/2019,05-00-000-B-P-010,05-38-004-D-D-000,Cabildo Insular de Tenerife,"10,40","10,40",ESCRITURA,protocolización de acuerdos,29/05/2001
2019/01 situacion a  01/01/2019,05-00-006-C-C-000,00-00-000-S-S-000,Estado,"70,00","50,00",RESOLUCION,de 25/02/2014 (BOE 17/03/2014),17/03/2014
2019/01 situacion a  01/01/2019,05-00-006-C-C-000,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"30,00","50,00",RESOLUCION,de 25/02/2014 (BOE 17/03/2014),17/03/2014
2019/01 situacion a  01/01/2019,05-00-000-B-P-011,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"100,00","100,00",ESCRITURA,de constitución nº 5550 de 28/12/1989,20/03/1990
2019/01 situacion a  01/01/2019,05-00-000-B-P-003,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"85,55","85,55",REAL DECRETO,"810/1985, 30-4 BOE nº 132 de 03/06/1985",03/06/1985
2019/01 situacion a  01/01/2019,05-00-000-B-P-003,05-00-000-B-P-001,"Viviendas Sociales e Infraestructuras de Canarias, S.A.U.(VISOCAN)","1,13","1,13",REAL DECRETO,"810/1985, 30-4 BOE nº 132 de 03/06/1985",03/06/1985
2019/01 situacion a  01/01/2019,05-00-000-B-P-003,05-00-000-B-P-025,"Sociedad para el Desarrollo Económico de Canarias, S.A.U. (SODECAN)","1,42","1,42",REAL DECRETO,"810/1985, 30-4 BOE nº 132 de 03/06/1985",03/06/1985
2019/01 situacion a  01/01/2019,05-00-000-B-P-003,05-35-001-D-D-000,Cabildo Insular de Fuerteventura,"4,63","4,63",REAL DECRETO,"810/1985, 30-4 BOE nº 132 de 03/06/1985",03/06/1985
2019/01 situacion a  01/01/2019,05-00-000-B-P-003,05-35-002-D-D-000,Cabildo Insular de Gran Canaria,"2,64","2,64",REAL DECRETO,"810/1985, 30-4 BOE nº 132 de 03/06/1985",03/06/1985
2019/01 situacion a  01/01/2019,05-00-000-B-P-003,05-35-003-D-D-000,Cabildo Insular de Lanzarote,"4,63","4,63",REAL DECRETO,"810/1985, 30-4 BOE nº 132 de 03/06/1985",03/06/1985
2019/01 situacion a  01/01/2019,05-00-002-C-C-000,00-00-000-S-S-000,Estado,"50,00","55,55",CONVENIO,de 10/12/2007 BOE nº 83 de 05/04/2008,10/12/2007
2019/01 situacion a  01/01/2019,05-00-002-C-C-000,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"50,00","44,45",CONVENIO,de 10/12/2007 BOE nº 83 de 05/04/2008,10/12/2007
2019/01 situacion a  01/01/2019,05-00-000-B-P-013,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"100,00","100,00",ESCRITURA,Escritura de fusión por absorción,07/01/2003
2019/01 situacion a  01/01/2019,05-00-000-B-P-036,05-00-000-B-W-002,Universidad de Las Palmas de Gran Canaria,"100,00","100,00",ESCRITURA,de constitución nº 1557 de 29/09/2005,02/12/2005
2019/01 situacion a  01/01/2019,05-00-000-B-P-008,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"100,00","100,00",ESCRITURA,de constitución nº 3856 de 28/12/1989,27/12/1990
2019/01 situacion a  01/01/2019,05-00-000-B-P-021,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"100,00","100,00",ESCRITURA,de constitución nº 4063 de 21/10/94 Decr.191/1994,05/11/1994
2019/01 situacion a  01/01/2019,05-00-000-X-P-007,00-00-000-S-S-000,Estado,"50,00","50,00",ESCRITURA,nº 2875 de 27/06/1997,03/09/1997
2019/01 situacion a  01/01/2019,05-00-000-X-P-007,05-00-000-B-B-000,Comunidad Autónoma de Canarias,"50,00","50,00",ESCRITURA,de constitución nº 1557 de 11/05/1994,18/07/1994
2019/01 situacion a  01/01/2019,07-00-000-B-P-031,07-00-000-B-P-023,Cursos Internacionales de la Universidad de Salamanca S.A.,"25,00","25,00",ESCRITURA,"nº 909, de 18/06/2013, de constitución",04/11/2013
2019/01 situacion a  01/01/2019,07-00-000-B-P-031,07-00-000-B-W-003,Universidad de Salamanca,"75,00","75,00",ESCRITURA,"nº909, de 18/06/2013, de constitución",04/11/2013
2019/01 situacion a  01/01/2019,07-40-005-C-C-000,00-00-000-F-F-000,Privado (Esteban Vicente e Iberpistas SACE),"0,00","41,67",ACUERDO,Constitutivo de 22/12/1997,22/12/1997
2019/01 situacion a  01/01/2019,07-40-005-C-C-000,00-00-000-F-F-008,Bancos o Cajas de Ahorro,"0,00","16,66",ACUERDO,Constitutivo de 22/12/1997,22/12/1997
2019/01 situacion a  01/01/2019,07-40-005-C-C-000,00-00-000-S-S-000,Estado,"0,00","8,33",ACUERDO,Constitutivo de 22/12/1997,22/12/1997
2019/01 situacion a  01/01/2019,07-40-005-C-C-000,07-00-000-B-B-000,Comunidad Autónoma de Castilla y León,"0,00","8,34",ACUERDO,Constitutivo de 22/12/1997,22/12/1997
2019/01 situacion a  01/01/2019,07-40-005-C-C-000,07-40-000-D-D-000,Diputación Prov. de Segovia,"0,00","16,67",ACUERDO,Constitutivo de 22/12/1997,22/12/1997
2019/01 situacion a  01/01/2019,07-40-005-C-C-000,07-40-194-A-A-000,Segovia,"0,00","8,33",ACUERDO,Constitutivo de 22/12/1997,22/12/1997
2019/01 situacion a  01/01/2019,07-37-012-C-C-000,00-00-000-S-S-000,Estado,"50,00","50,00",CONVENIO,de 14/12/2007 (BOCYL nº 183 de 22/09/2008),14/12/2007
2019/01 situacion a  01/01/2019,07-37-012-C-C-000,07-00-000-B-B-000,Comunidad Autónoma de Castilla y León,"45,00","45,00",CONVENIO,de 14/12/2007 (BOCYL nº 183 de 22/09/2008),14/12/2007
2019/01 situacion a  01/01/2019,07-37-012-C-C-000,07-00-000-B-W-003,Universidad de Salamanca,"5,00","5,00",CONVENIO,de 14/12/2007 (BOCYL nº 183 de 22/09/2008),14/12/2007
2019/01 situacion a  01/01/2019,07-00-001-C-C-000,00-00-000-S-S-000,Estado,"50,00","50,00",CONVENIO,"Específ. de Colabor. 04/03/2004 (BOE 75, 27/03/04)",04/03/2004
2019/01 situacion a  01/01/2019,07-00-001-C-C-000,07-00-000-B-B-000,Comunidad Autónoma de Castilla y León,"50,00","45,00",CONVENIO,de Colaboración de 04/03/2004,04/03/2004
2019/01 situacion a  01/01/2019,07-00-001-C-C-000,07-00-000-B-W-001,Universidad de Burgos,"0,00","5,00",CONVENIO,de Colaboración de 23/12/2009,23/12/2009
2019/01 situacion a  01/01/2019,07-00-002-C-C-000,07-00-000-B-B-000,Comunidad Autónoma de Castilla y León,"45,44","50,00",CONVENIO,Convenio de Colaboración de 27/01/2006,27/01/2006
