version,codigo_ente,codigo,actividad,fuente_alta,inf_fuente_alta,alta_desde
2019/01 situacion a  01/01/2019,05-00-000-B-P-032,N7990,Otros servicios de reservas y actividades relacionadas con los mismos,ESTATUTOS,escritura de constitución nº 1111 de 11/03/2005,25/07/2005
2019/01 situacion a  01/01/2019,05-35-008-C-C-000,O8425,Protección civil,ESTATUTOS,del convenio de 23/01/2002,23/01/2002
2019/01 situacion a  01/01/2019,05-38-010-C-C-000,O8425,Protección civil,ESTATUTOS,del convenio de 17/05/2000,01/07/2000
2019/01 situacion a  01/01/2019,05-00-000-X-P-038,D3518,Producción de energía eléctrica de origen eólico,ESTATUTOS,escritura de constitución nº 123 de 13/01/2003,17/03/2003
2019/01 situacion a  01/01/2019,05-38-014-C-C-000,P8543,Educación universitaria,ESTATUTOS,Convenio de 10/10/1994 BOC nº 145 de 28/11/1994,10/10/1994
2019/01 situacion a  01/01/2019,05-00-003-C-C-000,O8411,Actividades generales de la Administración Pública,ESTATUTOS,Resolución de 30/11/1998 (B.O.E de 04/12/1998),30/11/1998
2019/01 situacion a  01/01/2019,05-00-000-B-P-001,F4110,Promoción inmobiliaria,ESCRITURA,Escr. de Constitución de 29 de diciembre de 1977,10/08/1982
2019/01 situacion a  01/01/2019,05-00-000-B-P-001,F412,Construcción de edificios,ESCRITURA,Escr. de Constitución de 29 de diciembre de 1977,10/08/1982
2019/01 situacion a  01/01/2019,05-35-009-C-C-000,O8425,Protección civil,ACUERDO,28.11.2003,06/02/2004
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,A01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",ESTATUTOS,escritura de constitución nº 1070 de 04/11/1986,17/01/1987
2019/01 situacion a  01/01/2019,05-00-000-X-P-012,D351,"Producción, transporte y distribución de energía eléctrica",ESTATUTOS,escritura de constitución nº 5319 de 03/10/1995,04/09/1996
2019/01 situacion a  01/01/2019,05-00-000-B-P-022,O8411,Actividades generales de la Administración Pública,ESTATUTOS,escritura de constitución nº 16 de 05/01/1995,14/02/1995
2019/01 situacion a  01/01/2019,05-00-000-B-P-018,F412,Construcción de edificios,ESTATUTOS,escritura de constitución nº 2154 de 30/12/1993,09/04/1994
2019/01 situacion a  01/01/2019,05-00-000-B-P-018,R,"Actividades artísticas, recreativas y de entrenimiento",ESTATUTOS,escritura de constitución nº 2154 de 30/12/1993,09/04/1994
2019/01 situacion a  01/01/2019,05-00-000-B-P-034,J6010,Actividades de radiodifusión,ESTATUTOS,escritura de constitución nº 2517 de 19/07/2007,07/08/2007
2019/01 situacion a  01/01/2019,05-00-000-B-W-001,P8543,Educación universitaria,REAL DECRETO,"2802/1986, 12-12 BOE nº 47 de 24/12/1987",01/01/1987
