version,comunidad,codigo_ente,tipo_ente,accionista_mayoritario,nombre,cif,capital_social,finalidad,regimen_contable,regimen_presupuestario,sector_admin_publica,fuente_alta,alta_desde,ente_proviene,direccion,localidad,codigo_postal,provincia,telefono,fax,sitio_web,email
2019/01 situacion a  01/01/2019,Canarias,50 -00-004-N-N-000,OTRAS INSTITUCIONES SIN ÁNIMO DE LUCRO,,Federación de Organismos o Entid. de Radio y Telev. Autonóm. (FORTA),G79362133,0,"Cooperación y ayuda a sus asociados para el cumplimiento y desarrollo de sus atribuciones, reforzando sus actividades.",Privado,Estimativo,Si - CCAA                          ,ACTA Fundacional de 05/04/1989,05/04/1989, ,Calle Bocángel 26,Madrid,28028,Madrid,,,,
2019/01 situacion a  01/01/2019,Canarias,05-00-000-B-P-032,SOCIEDADES MERCANTILES,C. Autónoma,"PROMOTUR Turismo Canarias, S.A.",A35845593,"600.000,00","Estudio, promoción, fomento, difusión y comercialización de productos y servicios turísticos de Canarias",Privado,Estimativo,Si - CCAA                          ,ESCRITURA de Constitución nº 1111 de 11/03/2005,25/07/2005, ,"Calle Víctor Hugo 60, Bajo",Las Palmas,35006,Las Palmas,928293698,928293738,http://www.turismodecanarias.com/es/contacto.php,info@turismodecanarias.com
2019/01 situacion a  01/01/2019,Canarias,05-35-008-C-C-000,CONSORCIOS,,Consorcio del Servicio de Emergencias de Gran Canaria,P3500018A,0,"Protección civil, prevención y extinción de incendios",Público,Limitativo,Si - EELL                          ,CONVENIO de 23/01/2002,23/01/2002, ,Calle Travieso 23,Las Palmas de Gran Canaria,35003,Las Palmas,902450055,928363023,,emergencias@grancanaria.com
2019/01 situacion a  01/01/2019,Canarias,50 -00-012-H-H-000,FUNDACIONES,,Fundación Consejo España-China,G83997460,0,"Impulsar la cooperación entre España y China en los terrenos cultural, económico, comercial, empresarial, científico y deportivo",Privado,Estimativo,No -                               ,"ESCRITURA de constitución nº 921, 12/05/2004",21/06/2004, ,Plaza Marques de Salamanca 8,Madrid,28006,Madrid,913791805,,www.fundeschina.com,
2019/01 situacion a  01/01/2019,Canarias,05-00-000-B-B-000,A. G. COMUNIDAD AUTÓNOMA,,Comunidad Autónoma de Canarias,S3511001D,"0,00",Administración y representación de la Comunidad Autónoma de Canarias,Público,Limitativo,Si - CCAA                          ,"LEY ORGANICA 10/1982, 10-8",10/08/1982, ,Plaza Doctor Rafael O'Shanahan 1,Palmas de Gran Canaria (Las),35007,Palmas de Gran Canaria,928452100,928452144,www.gobcan.es,
2019/01 situacion a  01/01/2019,Canarias,05-38-010-C-C-000,CONSORCIOS,,"Consorcio de Prevención, Extinción de Incendios y Salvamento de la Isla de Tenerife",P3800022J,0,"Prestación del servicio público de prevención, extinción de incendios y salvamento.",Público,Limitativo,Si - EELL                          ,CONVENIO de 17/05/2000,01/07/2000, ,Avenida Anaga 11,Santa Cruz de Tenerife,38001,Santa Cruz de Tenerife,922533487,922533494,www.bomberostenerife.com,bmonterrey@bomberostenerife.com
2019/01 situacion a  01/01/2019,Canarias,05-00-000-X-P-038,SOCIEDADES MERCANTILES,Mayoría Pública conjunta,"Megaturbinas Arinaga, S.A.",A35740323,"180.000,00","Promoción de grandes turbinas eólicas, con componente de I+D, en la explanada de la ampliación del Muelle de Arinaga.",Privado,Estimativo,Pendiente -                               ,ESCRITURA de constitución nº 123 de 13/01/2003,17/03/2003, ,Avenida de la Feria 1,Las Palmas de Gran Canaria,,Las Palmas,,,,
2019/01 situacion a  01/01/2019,Canarias,05-38-014-C-C-000,CONSORCIOS,,Consorcio del Centro Asociado de la UNED de Tenerife,Q3818006C,0,Educación Universitaria,Público,Estimativo,Si - Estado                        ,CONVENIO de 10/10/1994 BOC nº 145 de 28/11/1994,10/10/1994, ,Calle San Agustín 30,San Cristobál de La Laguna,38201,Santa Cruz de Tenerife,922259609,922631157,www.unedtenerife.com,info@unedtenerife.com
2019/01 situacion a  01/01/2019,Canarias,05-00-003-C-C-000,CONSORCIOS,,Consorcio de la Zona Franca de Gran Canaria,S3500008B,0,"Gestión, administración y explotación de la Zona Franca de Gran Canaria",Privado,Estimativo,Si - Estado                        ,  ORDEN   de 24/04/1998 (B.O.E. de 28/04/1998), 28/04/1998, ,Calle Andrés Perdomo s/n,Las Palmas,35008,Gran Canaria,928327316,928327317,,info@zonafranca.org
2019/01 situacion a  01/01/2019,Canarias,05-00-000-B-P-001,SOCIEDADES MERCANTILES,C. Autónoma,"Viviendas Sociales e Infraestructuras de Canarias, S.A.U.(VISOCAN)",A38017851,"11.001.000,00",Promover viviendas de protección oficial en cualquiera de los municipios de las Islas Canarias,Privado,Estimativo,Si - CCAA                          ,ESCRITURA   de Constitución de 29 de diciembre de 1977, 10/08/1982, ,Calle Tirso de Molina 7,Santa Cruz de Tenerife,38005,Santa Cruz de Tenerife,922/10170,922222548,http://www.visocan.es/,abrito@visocan.es
