version,codigo_ente,nombre,fuente_alta,inf_fuente_alta,fuente_baja,inf_fuente_baja,alta_desde,baja_desde
2019/01 situacion a  01/01/2019,05-00-000-B-P-032,"PROMOTUR Turismo Canarias, S.A.",ESCRITURA,de Constitución nº 1111 de 11/03/2005,,,25/07/2005,
2019/01 situacion a  01/01/2019,05-35-008-C-C-000,Consorcio del Servicio de Emergencias de Gran Canaria,CONVENIO,de 23/01/2002,,,23/01/2002,
2019/01 situacion a  01/01/2019,05-00-000-B-B-000,Comunidad Autónoma de Canarias,LEY ORGANICA,"10/1982, 10-8",,,10/08/1982,
2019/01 situacion a  01/01/2019,05-38-010-C-C-000,"Consorcio de Prevención, Extinción de Incendios y Salvamento de la Isla de Tenerife",CONVENIO,de 17/05/2000,,,01/07/2000,
2019/01 situacion a  01/01/2019,05-00-000-X-P-038,"Megaturbinas Arinaga, S.A.",ESCRITURA,de constitución nº 123 de 13/01/2003,,,17/03/2003,
2019/01 situacion a  01/01/2019,05-38-014-C-C-000,Consorcio del Centro Asociado de la UNED de Tenerife,CONVENIO,de 10/10/1994 BOC nº 145 de 28/11/1994,,,10/10/1994,
2019/01 situacion a  01/01/2019,05-00-003-C-C-000,Consorcio de la Zona Franca de Gran Canaria,ORDEN,de 24/04/1998 (B.O.E. de 28/04/1998),,,28/04/1998,
2019/01 situacion a  01/01/2019,05-00-000-B-P-001,"Viviendas Sociales de Canarias, S.A. (VISOCAN)",ESCRITURA,de constitución nº 2411 de 29/12/1977,ESCRITURA,nº 516 de 07/02/2001,10/08/1982,21/07/1997
2019/01 situacion a  01/01/2019,05-00-000-B-P-001,"Viviendas Sociales e Infraestructuras de Canarias, S.A.U.(VISOCAN)",ESCRITURA,nº 516 de 07/02/2001,,,22/07/1997,
2019/01 situacion a  01/01/2019,05-35-009-C-C-000,"C. de prevención, extinción de incendios y Salvamento de la Isla de Lanzarote",ACUERDO,28/11/2003,ACUERDO,Estatutos de 18/05/2007 (Acuerdo de 13/04/2007),06/02/2004,17/05/2007
2019/01 situacion a  01/01/2019,05-35-009-C-C-000,"Consorcio de Seguridad, Emergencias, Salvamento, Prevención y Extinción de Incendios de Lanzarote",ACUERDO,Estatutos de 18/05/2007 (Acuerdo de 13/04/2007),,,18/05/2007,
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"Merc. Origen Produc. Agrarios Canarias, S.A. (MERCOCANARIAS)",ESCRITURA,de constitución nº 1070 de 04/11/1986,ESCRITURA,nº 4573 de 01/02/1998,17/01/1987,23/02/1999
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"Merc. Origen Produc. Agrarios Canarias,S.A.U.(MERCOCANARIAS)",ESCRITURA,nº 4573 de 01/02/1998,ESCRITURA,nº 1508 de 22/05/2007,24/02/1999,17/06/2007
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"Gestión del Medio Rural de Canarias, S.A.U. (GMR CANARIAS)",ESCRITURA,nº 1508 de 22/05/2007,,,18/06/2007,
2019/01 situacion a  01/01/2019,05-00-000-X-P-012,"Parques Eólicos Gaviota, S.A. (PEGASA)",ESCRITURA,de constitución nº 5319 de 03/10/1995,,,04/09/1996,
2019/01 situacion a  01/01/2019,05-00-000-B-P-022,"Gestión Recaudatoria de Canarias, S.A. (GRECASA)",ESCRITURA,de constitución nº 16 de 05/01/1995,ESCRITURA,de declaración de unipersonalidad (RM 04/05/2000),14/02/1995,03/05/2000
2019/01 situacion a  01/01/2019,05-00-000-B-P-022,"Gestión Recaudatoria de Canarias, S.A.U. (GRECASA)",ESCRITURA,de declaración de unipersonalidad (RM 04/05/2000),,,04/05/2000,
