version,codigo_ente,codigo,actividad,fuente_alta,inf_fuente_alta,alta_desde
2019/01 situacion a  01/01/2019,13-30-003-H-H-000,Q86,Actividades sanitarias,ESCRITURA,"de constitución nº 2.834, de 17/12/2004",11/02/2005
2019/01 situacion a  01/01/2019,13-30-006-H-H-000,R910,"Actividades de bibliotecas, archivos, museos y otras actividades culturales",ESTATUTOS,"escritura de constitución nº 1.190, de 21/03/2003",23/05/2003
2019/01 situacion a  01/01/2019,13-30-011-H-H-000,R900,"Actividades de creación, artísticas y espectáculos",ESTATUTOS,Escritura nº 489/10 de 18 febrero 2010,01/07/2010
2019/01 situacion a  01/01/2019,13-30-001-C-C-000,O8425,Protección civil,ESTATUTOS,Orden de 19/06/1992 (BORM nº 142 de 20/06/1992),10/07/1992
2019/01 situacion a  01/01/2019,13-30-002-C-C-000,N8129,Otras actividades de limpieza,ESTATUTOS,Orden de 30/11/1994; B.O.R.M nº 11 de 14/01/95,30/11/1994
2019/01 situacion a  01/01/2019,13-30-005-C-C-000,G461,Intermediarios del comercio,ESTATUTOS,"escritura Nº 1.709, de 11/06/1993",11/06/1993
2019/01 situacion a  01/01/2019,13-30-012-C-C-000,N791,Actividades de agencias de viajes y operadores turísticos,ESTATUTOS,convenio de 04/03/03 BORM nº 66 de 21/03/03,04/03/2003
2019/01 situacion a  01/01/2019,13-30-014-C-C-000,R9311,Gestión de instalaciones deportivas,ESTATUTOS,Conv. Colab. de 16/10/2002 (BORM 02/11/2002),16/10/2002
2019/01 situacion a  01/01/2019,13-30-020-C-C-000,P8543,Educación universitaria,ESTATUTOS,convenio de colaboración de 23/10/1989,23/10/1989
2019/01 situacion a  01/01/2019,13-30-023-C-C-000,L6832,Gestión y administración de la propiedad inmobiliaria,ESTATUTOS,convenio de 03/12/2004 BORM nº 297 de 24/12/2004,03/12/2004
