version,codigo_ente,codigo,componente,porcentaje_participacion,porcentaje_voto,fuente_alta,inf_fuente_alta,alta_desde
2016/02 situacion a 01/07/2016,09-00-000-F-P-069,00-00-000-F-F-000,Privado,"75,00",,ESCRITURA,reducc. C.S. nº1525 de 18/09/2012 (RM 28/12/2012),28/12/2012
2016/02 situacion a 01/07/2016,09-00-000-F-P-069,09-00-000-B-U-023,Ports de la Generalitat,"25,00",,ESCRITURA,reducc. C.S. nº1525 de 18/09/2012 (RM 28/12/2012),28/12/2012
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,00-00-000-E-E-001,Otras entidades de caracter local (Barcelona de Serveis Municipals SA),"24,25","24,25",OTROS,Informe IGAE,01/01/2009
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,00-00-000-F-F-001,Particulares,"51,50","51,50",ESCRITURA,de constitución de 12/02/1986,01/06/1993
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,09-00-000-B-U-024,Institut Català de Finances (ICF),"24,25","24,25",ESCRITURA,compraventa de 30/12/2002,31/12/2002
2016/02 situacion a  01/07/2016,09-00-000-X-P-066,00-00-000-S-S-000,Estado,"50,00","50,00",ESCRITURA,06/05/2003,02/02/2004
2016/02 situacion a  01/07/2016,09-00-000-X-P-066,09-00-000-B-B-000,Comunidad Autónoma de Cataluña,"25,00","25,00",ESCRITURA,06/05/2003,02/02/2004
2016/02 situacion a  01/07/2016,09-00-000-X-P-066,09-08-019-A-A-000,Barcelona,"25,00","25,00",ESCRITURA,06/05/2003,02/02/2004
2016/02 situacion a  01/07/2016,09-00-000-X-P-085,00-00-000-E-E-001,Otras entidades de caracter local (ICODE),"6,59","6,59",ESCRITURA,nº1216 de 14/07/2009 (RM 17/09/2009),17/09/2009
2016/02 situacion a  01/07/2016,09-00-000-X-P-085,00-00-000-F-F-000,"Privado (Conf.empresarial Prov.Tarragona;la Caixa,...)","46,16","46,16",ESCRITURA,nº1216 de 14/07/2009 (RM 17/09/2009),17/09/2009
2016/02 situacion a  01/07/2016,09-00-000-X-P-085,09-00-000-B-W-007,Universitat Rovira i Virgili,"6,59","6,59",ESCRITURA,nº1216 de 14/07/2009 (RM 17/09/2009),17/09/2009
2016/02 situacion a  01/07/2016,09-00-000-X-P-085,09-00-029-H-H-000,Fundació URV (FURV),"6,59","6,59",ESCRITURA,nº1216 de 14/07/2009 (RM 17/09/2009),17/09/2009
2016/02 situacion a  01/07/2016,09-00-000-X-P-085,09-08-149-H-H-000,Fundació Privada Institut Català d'Investigació Química,"6,59","6,59",ESCRITURA,nº1216 de 14/07/2009 (RM 17/09/2009),17/09/2009
2016/02 situacion a  01/07/2016,09-00-000-X-P-085,09-43-000-D-D-000,Diputación Prov. de Tarragona,"6,59","6,59",ESCRITURA,nº1216 de 14/07/2009 (RM 17/09/2009),17/09/2009
2016/02 situacion a  01/07/2016,09-00-000-X-P-085,09-43-148-A-A-000,Tarragona,"20,89","20,89",ESCRITURA,nº1216 de 14/07/2009 (RM 17/09/2009),17/09/2009
2016/02 situacion a  01/07/2016,09-00-000-X-P-072,00-00-000-E-E-001,Otras entidades de caracter local (Ayto. Tortosa y C. Comarcal B. Ebre),"24,01","24,01",ESCRITURA,nº 1485 de 09/03/1994 (RM 29/06/1994),29/06/1994
2016/02 situacion a  01/07/2016,09-00-000-X-P-072,00-00-000-F-F-000,Privado (Ecotécnia),"25,33","25,33",ESCRITURA,nº 1485 de 09/03/1994 (RM 29/06/1994),29/06/1994
2016/02 situacion a  01/07/2016,09-00-000-X-P-072,00-00-000-S-S-000,Estado (IDAE),"25,33","25,33",ESCRITURA,nº 1485 de 09/03/1994 (RM 29/06/1994),29/06/1994
2016/02 situacion a  01/07/2016,09-00-000-X-P-072,09-00-000-B-P-017,"Empresa de Promoció i Localització Industrial Catalunya, SA (AVANÇSA)","25,33","25,33",ESCRITURA,de cesión participaciones nº915 de 23/12/2015,24/12/2015
2016/02 situacion a  01/07/2016,09-00-000-X-P-082,00-00-000-F-F-000,Privado (Fed. Emp. de Hosteleria y Turismo Tarragona (FEHT)),"50,00","50,00",ESCRITURA,nº 1627 de 01/07/2005 (RM 22/07/2005),22/07/2005
2016/02 situacion a  01/07/2016,09-00-000-X-P-082,09-00-000-B-W-007,Universitat Rovira i Virgili,"25,00","25,00",ESCRITURA,nº 1627 de 01/07/2005 (RM 22/07/2005),22/07/2005
2016/02 situacion a  01/07/2016,09-00-000-X-P-082,09-43-171-A-A-000,Vila-seca,"25,00","25,00",ESCRITURA,nº 1627 de 01/07/2005 (RM 22/07/2005),22/07/2005
2016/02 situacion a  01/07/2016,09-00-000-X-P-083,09-00-058-C-C-000,Consorci de Salut i d'Atenció Social de Catalunya (CSC),"100,00","100,00",ESCRITURA,de constitución 21/09/2010 (RM 10/11/2010),10/11/2010
2016/02 situacion a  01/07/2016,09-00-000-X-P-076,09-00-058-C-C-000,Consorci de Salut i d'Atenció Social de Catalunya (CSC),"100,00","100,00",ESCRITURA,nº3485 de 27/07/1993 (RM 22/10/1993),22/10/1993
2016/02 situacion a  01/07/2016,09-00-000-X-P-064,00-00-000-E-E-000,Otras entidades de caracter estatal (C. Zona Franca de Barcelona),"49,48","49,48",ESCRITURA,nº2614 de 28/10/1987 (RM 14/12/1987),28/10/1987
2016/02 situacion a  01/07/2016,09-00-000-X-P-064,00-00-000-F-F-000,Privado,"0,41","0,41",ESCRITURA,nº 2614 de 28/10/1987 (RM 14/12/1987),28/10/1987
2016/02 situacion a  01/07/2016,09-00-000-X-P-064,09-00-000-B-B-000,Comunidad Autónoma de Cataluña,"0,08","0,08",LEY,11/2011 de 29/12; DOGC nº6035 de 30/12/2011,31/12/2011
2016/02 situacion a  01/07/2016,09-00-000-X-P-064,09-00-000-B-U-060,Agència per a la Competitivitat de l'Empresa ACCIÓ,"49,39","49,39",LEY,"9/2009, de 30/6 (DOGC 9/07/09) y Decreto 51/2010",09/04/2010
2016/02 situacion a  01/07/2016,09-00-000-X-P-064,09-00-000-B-W-001,Universitat Autònoma de Barcelona,"0,08","0,08",ESCRITURA,28/10/1987,28/10/1987
2016/02 situacion a  01/07/2016,09-00-000-X-P-064,09-00-000-B-W-002,Universitat de Barcelona,"0,08","0,08",ESCRITURA,28/10/1987,28/10/1987
