version,comunidad,codigo_ente,tipo_ente,accionista_mayoritario,nombre,cif,capital_social,finalidad,regimen_contable,regimen_presupuestario,sector_admin_publica,fuente_alta,alta_desde,ente_proviene,direccion,localidad,codigo_postal,provincia,telefono,fax,sitio_web,email
2016/02 situacion a 01/07/2016,Cataluña,09-00-000-F-P-069,SOCIEDADES MERCANTILES,Minoría Publica conjunta,"Societat Estiba dels Ports Catalans, SA (ESTICAT)",A61844270,"121.726,54",Racionalización de servicios portuarios y regularidad en la prestación de serviciosde esta actividad.,Privado,Estimativo,No -                               ,ESCRITURA reducc. C.S. nº1525 de 18/09/2012 (RM 28/12/2012),28/12/2012,09-00-000-B-P-061,  ,,,,,,,
2016/02 situacion a 01/07/2016,Cataluña,09-00-000-F-P-014,SOCIEDADES MERCANTILES,Minoría Publica conjunta,Catalana D'Iniciatives SA,A58137191,"1.384.400,00","Impulsar proyectos empresariales para contribuir al progreso económico, social y tecnológico",Privado,Estimativo,No -                               ,ESCRITURA   de constitución de 12/02/1986, 12/02/1986, ,Calle Rambla Catalunya 86,Barcelona,08007,Barcelona,933178161,933189287,www.catalanainiciatives.com,catalana@iniciatives.es
2016/02 situacion a  01/07/2016,Cataluña,09-00-005-H-H-000,FUNDACIONES,,F. Privada Salut del Consorci Sanitari del Maresme,G62337977,0,Provisión servicios hospitalarios y promoción de la investig. en ámbito de la salud y desarrollo de sist. de información y nuevas tecn.,Público,Estimativo,Pendiente -                               ,ESCRITURA   nº 768 de 17/07/2000 (RF 18/09/2000),18/09/2000, ,Carretera De Cirera 230,Mataró,08304,Barcelona,937417700,,,
2016/02 situacion a  01/07/2016,Cataluña,09-08-161-H-H-000,FUNDACIONES,,Fundació Privada per a l'Escola Superior de Música de Catalunya,G62429329,0,"Gestión , promoción y soporte, sin ánimo de lucro, de iniciativas y de actividades relacionadas con la enseñanza de la música de grado superior",Privado,Estimativo,Si - CCAA                          ,ESCRITURA nº4553 de 20/11/2000 (RF 27/02/2001),27/02/2001, ,"Calle Padilla, 155 155",Barcelona,08013,Barcelona,933523011,933497108,http://www.esmuc.cat,
2016/02 situacion a  01/07/2016,Cataluña,09-00-007-H-H-000,FUNDACIONES,,Fundació Parc Taulí,G60331238,0,"Docencia, investigación y formación en el àmbito científico-mèdico y en la gestión y organización de la actividad asistencial",Privado,Estimativo,Si - CCAA                          ,ESCRITURA nº 227 de 25/01/1993 (RF 21/05/1993),21/05/1993, ,Sector Parc Taulí 1,Sabadell,08208,Barcelona,937236673,,www.tauli.cat,fpt@tauli.cat
2016/02 situacion a  01/07/2016,Cataluña,09-00-031-H-H-000,FUNDACIONES,,"Biocat, la Fundació BioRegió de Catalunya",G64166747,0,"Coordinar, dinamizar y promover la biotecnología, la biomedicina y las tecnologías médicas en Cataluña.",Privado,Estimativo,Pendiente -                               ,ESCRITURA de Const. nº 624 de 14/02/2006,21/11/2006, ,Calle Baldiri Reixach 4-8,Barcelona,08008,Barcelona,933103330,933103360,http://www.biocat.cat,infor@biocat.cat
2016/02 situacion a  01/07/2016,Cataluña,09-08-166-H-H-000,FUNDACIONES,,Fundació Institut Català de Paleontologia Miquel Crusafont (ICP Miquel Crusafont),G64361322,0,Promover la investigación internacional y conservación del patrimonio paleontológico,Privado,Estimativo,Si - CCAA                          ,ESCRITURA nº 3214 de 22/11/2006 (RF 22/01/2008),22/01/2008, ,"Calle Edifici ICP, campus de la UAB s/n",Bellaterra,08193,Barcelona,935868337,,www.icp.cat,icp@icp.cat       enric.menendez@icp.cat
2016/02 situacion a  01/07/2016,Cataluña,09-08-177-H-H-000,FUNDACIONES,,"Fundació Privada I2CAT, Internet i Innovació Digital a Catalunya",G63262570,0,Contribuir mediante el perfeccionamiento tecnológico y la innovación a mejorar la competitividad de las empresas y el desarrollo tecnológico de Catalu,Privado,Estimativo,Si - CCAA                          ,ESCRITURA nº 1809 de 22/09/2003 (RF 14/10/2003),14/10/2003, ,"Carrer Gran Capità, Ed Nexus I, 2a planta Despatx 203 2-4",Barcelona,08034,Barcelona,935532510,935532520,www.i2cat.net,fundacio@i2cat.net
2016/02 situacion a  01/07/2016,Cataluña,09-25-026-H-H-000,FUNDACIONES,,Fundació Universitat de Lleida,G25372897,0,"Promover las relaciones entre la Universidad de Lleida, la sociedad y el entorno socioeconómico i cultural.",Privado,Estimativo,  - ,ESCRITURA nº1037 de 12/06/1996 (RF 26/11/1996),26/11/1996, ,Plaza Jaime II 67,Lleida,25001,Lleida,973003558,973003552,www.fundacio.udl.cat,fundacio@udl.cat
2016/02 situacion a  01/07/2016,Cataluña,09-00-061-H-H-000,FUNDACIONES,,Fundació Barcelona Mobile World Capital Foundation,G65760431,0,Promocionar i fomentar el uso de tecnologias y soluciones moviles,Público,Estimativo,Si - EELL                          ,ESCRITURA nº 597 de 13/03/2012 (RF 29/03/2012),29/03/2012, ,Carrer Roc de Boronat 117,Barcelona,08018,Barcelona,935157359,,www.mobileworldcapital.com,info@mobileworldcapital.com
