version,codigo_ente,codigo,actividad,fuente_alta,inf_fuente_alta,alta_desde
2016/02 situacion a 01/07/2016,09-00-000-F-P-069,H5229,Otras actividades anexas al transporte,ESCRITURA,Esc.reducc CS nº1525 de 18/09/2012 (RM 28/12/2012),28/12/2012
2016/02 situacion a 01/07/2016,09-00-000-F-P-014,O8413,Regulación de la actividad económica y contribución a su mayor eficiencia,ESTATUTOS,Escritura de constitución de 12/02/1986,12/02/1986
2016/02 situacion a  01/07/2016,09-00-005-H-H-000,Q8690,Otras actividades sanitarias,ESTATUTOS,Esc. Const. nº 768 de 17/07/2000 (RF 18/09/2000),18/09/2000
2016/02 situacion a  01/07/2016,09-08-161-H-H-000,P8543,Educación universitaria,ESCRITURA,Esc. Const. nº4553 de 20/11/2000 (RF 27/02/2001),27/02/2001
2016/02 situacion a  01/07/2016,09-00-007-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc. Const. nº 227 de 25/01/1993 (RF 21/05/1993),21/05/1993
2016/02 situacion a  01/07/2016,09-00-031-H-H-000,M7211,Investigación y desarrollo experimental en biotecnología,ESTATUTOS,Escritura de constitución nº 624 de 14/02/2006,21/11/2006
2016/02 situacion a  01/07/2016,09-08-166-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc. Const. nº 3214 de 22/11/2006 (RF 22/01/2008),22/01/2008
2016/02 situacion a  01/07/2016,09-08-177-H-H-000,M721,Investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc. Cons. nº 1809 de 22/09/2003 (RF 14/10/2003),14/10/2003
2016/02 situacion a  01/07/2016,09-25-026-H-H-000,P8560,Actividades auxiliares a la educación,ESTATUTOS,Esc. Const. nº1037 de 12/06/1996 (RF 26/11/1996),26/11/1996
2016/02 situacion a  01/07/2016,09-00-061-H-H-000,J6190,Otras actividades de telecomunicaciones,ESTATUTOS,Escritura nº 597 de 13/03/2012 (RF 29/03/2012),29/03/2012
2016/02 situacion a  01/07/2016,09-00-014-H-H-000,Q869,Otras actividades sanitarias,ESTATUTOS,Esc Const 493/92 de 10/03/1992; RF 18/10/1993,18/10/1993
2016/02 situacion a  01/07/2016,09-25-022-H-H-000,S9499,Otras actividades asociativas n.c.o.p.,ESTATUTOS,Esc. Const. nº2818 de 25/07/2005 (RF 15/03/2007),15/03/2007
2016/02 situacion a  01/07/2016,09-08-159-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc.const.nº 3308 de 19/12/2005(RF 2210;14/06/06),14/06/2006
2016/02 situacion a  01/07/2016,09-08-156-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc. Const. nº 1839 de 11/07/2003 (RF 26/02/2004),26/02/2004
2016/02 situacion a  01/07/2016,09-08-181-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Escritura nº879 de 06/03/1990 (RF 23/10/1990),23/10/1990
2016/02 situacion a  01/07/2016,09-08-160-H-H-000,R9329,Otras actividades recreativas y de entretenimiento,ESTATUTOS,Esc. Const. nº3351 de 22/09/2006 (RF 22/11/2006),22/11/2006
2016/02 situacion a  01/07/2016,09-08-182-H-H-000,M72,Investigación y desarrollo,ESTATUTOS,Escritura nº1993 de 22/05/1989 (RF 05/03/1990),05/03/1990
2016/02 situacion a  01/07/2016,09-08-179-H-H-000,C21,Fabricación de productos farmacéuticos,ESTATUTOS,Esc. Const. nº 1334 de 16/06/1998 (RF 22/07/1998),22/07/1998
2016/02 situacion a  01/07/2016,09-08-145-H-H-000,M72,Investigación y desarrollo,ESTATUTOS,Esc. Const. de 22/12 (R.F. nº281 de 24/12/1986),24/12/1986
2016/02 situacion a  01/07/2016,09-08-188-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc.nº 318 de 04/02/2014 (RF 23/06/2014),23/06/2014
2016/02 situacion a  01/07/2016,09-00-063-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc. nº 5133 de 20/12/2005 (RF 2214-26/06/2006),26/06/2006
2016/02 situacion a  01/07/2016,09-17-051-H-H-000,M721,Investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc. Const. nº5110 de 28/12/2001 (RF 04/11/2002),04/11/2002
2016/02 situacion a  01/07/2016,  09-00-019-H-H-000,M72,Investigación y desarrollo,OTROS,Provisional,15/11/1984
2016/02 situacion a  01/07/2016,09-00-039-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc. cont. nº1772 de 14/07/2005 (RF 29/05/2006),29/05/2006
2016/02 situacion a  01/07/2016,  09-17-047-H-H-000,Q8610,Actividades hospitalarias,ESTATUTOS,Esc.nº411 de 03/02/1995 (RF nº929 de 12/10/1995),12/10/1995
2016/02 situacion a  01/07/2016,09-08-172-H-H-000,S9499,Otras actividades asociativas n.c.o.p.,ESTATUTOS,nº 650 de 13/03/1996 (RF 1022;02/12/1996),02/12/1996
2016/02 situacion a  01/07/2016,09-00-074-H-H-000,R910,"Actividades de bibliotecas, archivos, museos y otras actividades culturales",ESTATUTOS,const. nº1677 de 16/06/2006 (RF 27/07/2006),27/07/2006
2016/02 situacion a  01/07/2016,09-00-041-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc.cons.nº 3138 de 15/09/1993 (RF 27/12/1993),27/12/1993
2016/02 situacion a  01/07/2016,09-00-025-H-H-000,P8560,Actividades auxiliares a la educación,ESTATUTOS,Escritura de constitución,02/10/2007
2016/02 situacion a  01/07/2016,09-08-147-H-H-000,M72,Investigación y desarrollo,ESTATUTOS,Escritura nº5646 de 21/11/1988 (RF 31/10/1989),31/10/1989
2016/02 situacion a  01/07/2016,09-17-050-H-H-000,S9499,Otras actividades asociativas n.c.o.p.,ESTATUTOS,Escritura nº785 de 11/03/1991 (RF 23/10/1991),23/10/1991
2016/02 situacion a  01/07/2016,  09-00-036-H-H-000,M7022,Otras actividades de consultoría de gestión empresarial,ESTATUTOS,Escritura de constitución,25/06/1999
2016/02 situacion a  01/07/2016,09-08-152-H-H-000,J6190,Otras actividades de telecomunicaciones,ESTATUTOS,Esc. Const. nº 1969 de 28/06/2001,22/01/2002
2016/02 situacion a  01/07/2016,  09-08-192-H-H-000,Q8610,Actividades hospitalarias,ESTATUTOS,Otros Sectorización IGAE CCAA,01/01/2014
2016/02 situacion a  01/07/2016,09-08-173-H-H-000,Q862,Actividades médicas y odontológicas,ESTATUTOS,E. Const. nº1145 de 10/05/90(RF nº599 de 23/03/92),23/03/1992
2016/02 situacion a  01/07/2016,09-08-173-H-H-000,Q8690,Otras actividades sanitarias,ESTATUTOS,E. Const. nº1145 de 10/05/90(RF nº599 de 23/03/92),23/03/1992
2016/02 situacion a  01/07/2016,09-00-034-H-H-000,Q88,Actividades de servicios sociales sin alojamiento,ESTATUTOS,Esc. Const. nº504 de 05/03/2003 (RF 13/06/2003),13/06/2003
2016/02 situacion a  01/07/2016,09-17-049-H-H-000,M72,Investigación y desarrollo,ESTATUTOS,Esc. Const. nº2306 de 08/07/1991 (RF 14/09/1992),14/09/2002
2016/02 situacion a  01/07/2016,09-08-189-H-H-000,S9499,Otras actividades asociativas n.c.o.p.,ESTATUTOS,Esc. nº 2416 de 18/07/2011 (RF 30/10/2012),30/10/2012
2016/02 situacion a  01/07/2016,09-08-158-H-H-000,M72,Investigación y desarrollo,ESTATUTOS,"Escritura nº 2525, 29/11/2004; Acuerdo 21/09/2004",20/07/2005
2016/02 situacion a  01/07/2016,09-00-047-H-H-000,P856,Actividades auxiliares a la educación,ESTATUTOS,Escritura nº1223 de 27/03/1990 (RF 19/05/1992),19/05/1992
2016/02 situacion a  01/07/2016,09-08-150-H-H-000,M72,Investigación y desarrollo,ESTATUTOS,Esc. Const. nº2595 de 27/07/2000 (RF 27/12/2000),27/12/2000
2016/02 situacion a  01/07/2016,  09-08-193-H-H-000,M72,Investigación y desarrollo,ESCRITURA,de constitución (RF nº1024 de 24/12/1996),24/12/1996
2016/02 situacion a  01/07/2016,09-00-044-H-H-000,Q86,Actividades sanitarias,ESTATUTOS,Esc. Cont. nº585 de 13/02/1996 (RF 03/06/1998),03/06/1998
2016/02 situacion a  01/07/2016,09-17-048-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc. Const. nº 2382 de 26/10/2006 (RF 30/11/2007),30/11/2007
2016/02 situacion a  01/07/2016,09-00-021-H-H-000,P8560,Actividades auxiliares a la educación,ESTATUTOS,Esc. Const. nº 2729 de 22/07/1994 (RF 13/10/1994),13/10/1994
2016/02 situacion a  01/07/2016,09-00-070-H-H-000,P8559,Otra educación n.c.o.p.,ESTATUTOS,Esc.nº2543 de 16/07/1998 (RF nº1359 de 18/01/2000),18/01/2000
2016/02 situacion a  01/07/2016,09-08-176-H-H-000,M74,"Otras actividades profesionales, científicas y técnicas",ESTATUTOS,Esc. Const. nº2934 de 09/10/1996 (RF 11/12/1996),11/12/1996
2016/02 situacion a  01/07/2016,09-00-071-H-H-000,M7220,Investigación y desarrollo experimental en ciencias sociales y humanidades,ESTATUTOS,Esc.nº1816 de 18/07/2005 (RF nº2674 de 13/04/2011),13/04/2011
2016/02 situacion a  01/07/2016,09-00-029-H-H-000,P8560,Actividades auxiliares a la educación,ESTATUTOS,Escritura nº1128 de 19/07/1999 (RF 18/01/2000),18/01/2000
2016/02 situacion a  01/07/2016,09-08-157-H-H-000,S9499,Otras actividades asociativas n.c.o.p.,ESTATUTOS,Esc. Const. nº1363 de 29/04/2004 (RF 19/07/2004),19/07/2004
2016/02 situacion a  01/07/2016,09-08-171-H-H-000,M7490,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",ESTATUTOS,E.C. nº4337 de 04/10/1983(RF nº22 de 08/03/1984),08/03/1984
2016/02 situacion a  01/07/2016,09-00-012-H-H-000,N802,Servicios de sistemas de seguridad,ESTATUTOS,nº 355 de 2/02/2010 (RF 10/03/2010),10/03/2010
2016/02 situacion a  01/07/2016,09-00-062-H-H-000,P8543,Educación universitaria,ESTATUTOS,Esc.cons. nº 300 de 14/02/1997 (RF 08/05/97),08/05/1997
2016/02 situacion a  01/07/2016,09-00-060-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESCRITURA,nº1236 de 21/09/1984 (RF 02/07/1984),02/07/1984
2016/02 situacion a  01/07/2016,09-00-032-H-H-000,R9001,Artes escénicas,ESTATUTOS,Esc.nº2258 de 05/09/1994 (RF nº 851 de 21/12/1994),21/12/1994
2016/02 situacion a  01/07/2016,09-00-054-H-H-000,M7490,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",ESTATUTOS,Esc.cons.nº1555 de 09/05/2003 (RF 24/11/2003),24/11/2003
