version,codigo_ente,nombre,fuente_alta,inf_fuente_alta,fuente_baja,inf_fuente_baja,alta_desde,baja_desde
2019/01 situacion a  01/01/2019,13-30-003-H-H-000,Fundación para la Formación e Investigación Sanitaria,ESCRITURA,"de constitución nº 2.834, de 17/12/2004",,,11/02/2005,
2019/01 situacion a  01/01/2019,13-30-006-H-H-000,Fundación Teatro Romano de Cartagena,ESCRITURA,"de constitución nº 1.190, de 21/03/2003",,,23/05/2003,
2019/01 situacion a  01/01/2019,13-30-011-H-H-000,Fundación Cante de las Minas,ESCRITURA,nº 489/10 de 18 de febrero de 2010,,,01/07/2010,
2019/01 situacion a  01/01/2019,13-30-001-C-C-000,C. Servicio Extinción de Incendios y Salvamento C.A. Región de Murcia,ACTA,de constitución de 30/06/1992,,,30/06/1992,
2019/01 situacion a  01/01/2019,13-30-002-C-C-000,Consorcio Gestión de Residuos Sólidos Región de Murcia (COGERMU),ACTA,"de sesión constituyente, de 30/11/1994",,,30/11/1994,
2019/01 situacion a  01/01/2019,13-30-005-C-C-000,Consorcio Depósito Franco de Cartagena,ESCRITURA,"Nº 1.709, de 11/06/1993",,,11/06/1993,
2019/01 situacion a  01/01/2019,13-30-012-C-C-000,Consorcio Vía Verde del Noroeste,CONVENIO,colaboración de 04/03/2003 BORM nº 66 de 21/03/03,B.O.C.,de la Región de Murcia nº 18 de 23/01/2012,04/03/2003,22/01/2012
2019/01 situacion a  01/01/2019,13-30-012-C-C-000,Consorcio de las Vías Verdes de la Región de Murcia,B.O.C.,de la Región de Murcia nº 18 de 23/01/2012,,,23/01/2012,
2019/01 situacion a  01/01/2019,13-30-020-C-C-000,C. para el Centro Regional Asociado de la U.N.E.D. Cartagena,CONVENIO,de colaboración de 23/10/1989,,,23/10/1989,
2019/01 situacion a  01/01/2019,13-30-023-C-C-000,Consorcio Marina de Cope,CONVENIO,Colaboración de 03/12/04 BORM nº 297 de 24/12/04,,,03/12/2004,
