version,comunidad,codigo_ente,tipo_ente,accionista_mayoritario,nombre,cif,capital_social,finalidad,regimen_contable,regimen_presupuestario,sector_admin_publica,fuente_alta,alta_desde,ente_proviene,direccion,localidad,codigo_postal,provincia,telefono,fax,sitio_web,email
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-014,SOCIEDADES MERCANTILES,C. Autónoma,"Neiker-Instituto Vasco de Investigación y Desarrollo Agrario, S.A.",A48167902,"  4.157.056,00","Investigación en materia de ciencias agrarias, acuáticas, ambientales y en general de recursos naturales",Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de compra-venta 03/06/1988 (Dec.132/1988, 24/05)", 03/06/1988, ,"Parque Tecnológico de Zamudio, Parcela 812. C/Berreaga 1",Derio,48160,Bizkaia,944034300,944034310,www.neiker.eus,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-X-P-115,SOCIEDADES MERCANTILES,Mayoría Pública conjunta,"Alta Velocidad Vitoria-Gasteizko Abiadura Handia, S.A.",A01474022,"600.000,00",Coordinación de actuaciones para la remodelación de la Red Arterial Ferroviaria de Vitoria-Gasteiz,Privado,Estimativo,Si - Estado                        ,"ESCRITURA de const. de 16/12/2010 (Dec. 273/2010, de 26/10)",08/02/2011, ,Calle Olaguibel. Sede de la Subdelegación del Gobierno 1,Vitoria-Gasteiz,01071,Álava,,,http://alta-velocidad-vitoria-gasteiz.webnode.es/,vitoriagasteiz.altavelocidad@gmail.com
2019/01 situacion a  01/01/2019,País Vasco,15-00-015-H-H-000,FUNDACIONES,,Fundación Gernika Gogoratuz/Gernika Gogoratuz Iraskundea,G48813372,0,Contribuir al logro de una paz emancipadora y justa a escala mundial y en el País Vasco en particular.,Privado,Estimativo,Si - CCAA                          ,ESCRITURA   constitución de 15/12/1994 (R.F. 25/09/1995),25/09/1995, ,Plaza de los Fueros s/n,Gernika-Lumo,48300,Bizkaia,,,www.gernikagogoratuz.org,info@gernikagogoratuz.org
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-X-P-041,SOCIEDADES MERCANTILES,Mayoría Pública conjunta,"Festival Internacional de Cine de Donostia - San Sebastian, S.A.",A20219283,"242.808,89",Realización anual del Festival Internacional de Cine de Donostia-San Sebastián,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 20/12/1990 (Dec. 235/1990, de 11-09)",16/03/1991, ,Plaza Okendo 1,Donostia-San Sebastián,20004,Guipúzcoa,943481212,,www.sansebastianfestival.com,
2019/01 situacion a  01/01/2019,País Vasco,50 -00-013-H-H-000,FUNDACIONES,,F. Universitaria para la Cooperación Internacional (FUCI),,0,Apoyar y potenciar la acción de las Universidades españolas en los ámbitos de la cooperación internacional y al desarrollo.,Privado,Estimativo,Si - CCAA                          ,ESCRITURA nº 1449 de 29/05/2000 (RF nº 704 de 22/10/2003),22/10/2003, ,Calle Principe 1,Madrid,28012,Madrid,913601200,913601201,www.crue.org,sgcrue@crue.org
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-X-P-102,SOCIEDADES MERCANTILES,Mayoría Pública conjunta,"Sociedad para la Promoción del Aeropuerto de Bilbao, S.L.",A95177762,"3.000,00","Prestación de toda clase de servicios de promoción, fomento, desarrollo e información del Aeropuerto de Bilbao",Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 03/10/2001 (Decreto 162/2001, 30-7)",24/10/2001, ,Calle Alameda de Recalde 50,Bilbao,48009,Bizkaia,,,www.bilbaoair.com,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-002,SOCIEDADES MERCANTILES,C. Autónoma,"Euskal Telebista - Televisión Vasca, S.A. (Sociedad Unipersonal)",A48139232,"50.956.043,43",Producción y transmisión de imágenes y sonidos a través de ondas o cables,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 04/11/1982 (Dec. 157/1982, 19-7)",04/11/1982, ,Calle Capuchinos de Basurto 2,Bilbao,48013,Vizcaya,9465630,9465630,www.eitb.com,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-006,SOCIEDADES MERCANTILES,C. Autónoma,"Sociedad para la Transformación Competitiva - Eraldaketa Lehiakorrerako Sozietatea, S.A. (SPRI)",A01021237,"  480.042.600,00","Contribuir a la promoción empresarial mediante realización de estudios, prestación de asesoramiento de servicios. Fomentar la creación de empresas.",Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 21/09/1981 (Ley 5/1981, 10-6)", 21/09/1981, ,Calle Duque de Wellington 2,Vitoria-Gasteiz,01010,Álava,944037000,,www.spri.eus/es/,info@spri.es
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-091,SOCIEDADES MERCANTILES,C. Autónoma,"Lanbarren Parke Logistikoa, S.A.",A20721767,"2.944.900,00",Promover la iniciativa e inversión de actividades económicas en Guipúzcoa,Privado,Estimativo,No -                               ,"ESCRITURA   de const. de 19/12/2000 (Dec. 126/2000, 04-07)",08/02/2001, ,Plaza Done Eztebe 1,Oiartzun,20180,Guipúzcoa,943341420,943526708,www.sprilur.es,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-112,SOCIEDADES MERCANTILES,C. Autónoma,"Urolako Industrialdea, S.A.",A20118238,"14.806.440,34",Promover la inversión industrial en la comaca de Urola,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 26/12/1985 (Dec. 373/1985, 10/12)",26/12/1985, ,Polígono Industrialdea Edificio Oficinas - Barrio Argixao. Buzón 0 ,Zumarraga,20700,Gipuzkoa,943724766,,www.sprilur.es,zumarraga@industrialdea.spri.es
2019/01 situacion a  01/01/2019,País Vasco,15-00-001-C-C-000,CONSORCIOS,,Consorcio Haurreskolak,P0100385D,0,Gestión Integral de Escuelas Infantiles,Público,Limitativo,Si - CCAA                          ,CONVENIO de Colaboración de 24/09/2003 (BOPV 26/12/2003),24/09/2003, ,"Avenida Otaola,  Edificio Jaizkibel, 1º planta 29",Eibar,20600,Guipuzkoa,94382190,,www.haurreskolak.net,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-U-003,ENTES PÚBLICOS,,Osakidetza-Servicio Vasco de Salud,S5100023J,0,Provisión de servicios sanitarios a través de las organizaciones públicas de servicios sanitarios dependientes del mismo.,Privado,Estimativo,Si - CCAA                          ,"LEY 8/1997, 26-6 BO País Vasco nº 138 de 21/07/1997",01/01/1998,15-00-000-B-V-008,Calle Álava 45,Vitoria-Gasteiz,01006,Álava,,,www.osakidetza.euskadi.eus,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-X-P-009,SOCIEDADES MERCANTILES,Mayoría Pública conjunta,"Sociedad Promotora de la Zona Aduanera de Irún, S.A. (ZAISA)",A20084646,"176.625.335,06","Creación, promoción y explotación de terminal de transporte",Privado,Estimativo,Pendiente -                               ,ESCRITURA   de const. de 27/07/1983 (Acuerdo de 26/07/1983),27/07/1983, ,Plaza de Euskadi (Oficina 49) 5,Irún,20305,Guipuzkoa,943630130,943633877,www.zaisa.com,info@zaisa.com
2019/01 situacion a  01/01/2019,País Vasco,15-20-005-C-C-000,CONSORCIOS,,Consorcio Autoridad Territorial del Transporte de Gipuzkoa,Q2000559A,0,"Coadyuvar a la definición de las políticas de ordenación del transporte, a la coordinación de la política común del transporte",Público,Limitativo,Si - EELL                          ,ESCRITURA   de 14/02/2011 (Convenio Colab. BOPV 15/11/2010),14/02/2011, ,Plaza Easo Kalea 74,Donostia-San Sebastián,20006,Gipuzkoa,,,www.atgipuzkoa.eus,info@atgipuzkoa.eus
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-X-P-100,SOCIEDADES MERCANTILES,Mayoría Pública conjunta,"Centro Internacional de Cultura Contemporánea, S.A.",A20762233,"12.149.313,00",Creación de Proyecto Cultural y Arquitectónico para el C. Inter. de Cultura Contemp. en San Sebastián,Privado,Estimativo,Si - EELL                          ,"ESCRITURA   de cons. de 28/12/2001 (Dec. 360/2001, de 18-12)",19/01/2002, ,Plaza de las Cigarreras 1,Donostia-San Sebastián,20012,Guipúzcoa,943011311,,www.tabakalera.eu,tabakalera@tabakalera.eu
2019/01 situacion a  01/01/2019,País Vasco,15-00-010-H-H-000,FUNDACIONES,,Fundación Cursos de Verano de la UPV/EHU,G20448056,0,Organización de actividades docentes y de extensión universitaria de carácter fundamentalmente estival,Privado,Estimativo,Si - CCAA                          ,ESCRITURA   nº 498 de 22/2/1993 (R.F. 18/03/1994),18/03/1994, ,Calle Palacio Miramar s/n,San Sebastián,20008,Gipuzkoa,,,www.sc.ehu.es,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-063,SOCIEDADES MERCANTILES,C. Autónoma,"Arabako Industrialdea, S.A.",A01113505,"12.855.624,39",Estimular y promover la iniciativa y la inversión industrial en el territorio histórico de Álava.,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 05/06/1991 (Dec. 270/1990, 9-10)",13/09/1991, ,"Calle Uzbina (Políg.Ind.de Júndiz)-Edif.Oficinas, Of.13 24",Vitoria-Gasteiz,01015,Álava,945291215,,www.sprilur.es,araba@industrialdea.spri.es
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-V-002,OO.AA.ADMINISTRATIVOS,,IVAP-Instituto Vasco de la Administración Pública,Q2040001F,0,Normalización del uso del euskera en las organizacione publicas atendiendo a las peculiaridades de la Autonomía Vasca en la Administración.,Público,Limitativo,Si - CCAA                          ,"LEY 16/1983, 27-7 BO País Vasco nº 117 de 06/08/1983",07/08/1983, ,Calle Donostia-San Sebastián 1,Vitoria-Gasteiz,01010,Álava,945017600,945017602,www.ivap.euskadi.eus,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-X-P-122,SOCIEDADES MERCANTILES,Mayoría Pública conjunta,"Ekarpen Private Equity, S.A.",A95541090,"30.294.000,00",Promoción de empresas mediante la participación temporal de su capita,Privado,Estimativo,No -                               ,"ESCRITURA   de const. de 28/07/2008 (Dec.121/2008, 24-06)",02/10/2008, ,Calle Rodríguez Arias 23,Bilbao,48011,Vizcaya,946077826,946002623,www.ekarpen.es,ekarpen@ekarpen.es
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-X-P-013,SOCIEDADES MERCANTILES,Mayoría Pública conjunta,"Vía, Promoción del Aeropuerto de Vitoria, S.A.",A01159045,"672.000,00",Promoción y desarrollo del aeropuerto internacional de Vitoria-Gasteiz,Privado,Estimativo,Pendiente -                               ,"ESCRITURA   de const. de 23/06/1994 (Dec. 158/1994, de 12-04)",07/11/1994, ,Calle Eduardo Dato 38,Vitoria-Gasteiz,01005,Álava,945141800,945143156,www.via.com,info@via.com.es
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-044,SOCIEDADES MERCANTILES,C. Autónoma,"Arratiako Industrialdea, S.A.",A48211528,"  3.440.800,00",Estimular y promover la iniciativa y la inversión de actividades económicas en la comarca de Arratia (Bizkaia),Privado,Estimativo,No -                               ,"ESCRITURA   de const. de 22/10/1986 (Dec. 167/1986, 15-07)", 22/10/1986, ,"Calle Bildosola Industrialdea, edificio E1 ",Artea,48142,Bizkaia,946319051,,www.sprilur.es,arratia@industrialdea.spri.es
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-102,SOCIEDADES MERCANTILES,C. Autónoma,"Zumaiako Kirol Portua, S.A.",A20506127,"60.101,00","Planificación, promoción, desarrollo y explotación de puertos deportivos",Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de compra-venta de acciones (Dec.196/2003, 29/07)", 25/08/2003,15-00-000-X-P-015,Plaza Foruen Enparantza Plaza 1,Zumaia,20750,Guipúzcoa,,,,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-X-P-107,SOCIEDADES MERCANTILES,Mayoría Pública conjunta,"Sociedad de Capital Desarrollo de Euskadi SOCADE,S.A.",A01133305,"30.050.605,22","Promoción o fomento, mediante la dotación de recursos financieros, de todo tipo de sociedades o empresas.",Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 17/02/1993 (Decreto 364/199, 30-12)",16/03/1993, ,Calle Alameda Urquijo (Edificio plaza Bizkaia) 36,Bilbao,48011,Bizkaia,944790192,,www.gestioncapitalriesgo.com,capitalriesgo@spri.es
2019/01 situacion a  01/01/2019,País Vasco,15-00-006-H-H-000,FUNDACIONES,,Fundación Privada para el Centro Superior de Música del País Vasco - Musikene,G20738423,0,"Gestión, promoción y soporte, sin afán de lucro, de iniciativas y actividades relacionadas con la enseñanza de musica de grado superior en el PV.",Privado,Estimativo,Si - CCAA                          ,ESCRITURA   nº 99 de 07/06/2001 (R.F. 11/07/2001),11/07/2001, ,Calle Europa Plaza 2,Donostia-San Sebastión,20018,Guipuzkoa,943023750,943316916,www.musikene.eus,info@musikene.eus
