version,comunidad,codigo_ente,tipo_ente,accionista_mayoritario,nombre,cif,capital_social,finalidad,regimen_contable,regimen_presupuestario,sector_admin_publica,fuente_alta,alta_desde,ente_proviene,direccion,localidad,codigo_postal,provincia,telefono,fax,sitio_web,email
2019/01 situacion a  01/01/2019,Región de Murcia,13-30-003-H-H-000,FUNDACIONES,,Fundación para la Formación e Investigación Sanitaria,G73338857,0,"La formación y difusión del conocimiento, así como la investigación en el ámbito de la salud",Privado,Estimativo,Si - CCAA                          ,"ESCRITURA nº 2.834, de 17/12/2004",11/02/2005, ,Calle Luis Fontes Pagán (edificio EMI Hospital Reina Sofia) 9,Murcia,30003,Murcia,968359767,968359777,www.ffis.es,formacion-sms@listas.carm.es
2019/01 situacion a  01/01/2019,Región de Murcia,13-30-006-H-H-000,FUNDACIONES,,Fundación Teatro Romano de Cartagena,G30769749,0,"Conservación, restauración y revalorización del Teatro Romano de Cartagena, y gestión del Museo Teatro Romano de Cartagena",Privado,Estimativo,Si - CCAA                          ,"ESCRITURA de constitución nº 1.190, de 21/03/2003",23/05/2003, ,Calle Sor Francisca Armendáriz 6,Cartagena,30202,Murcia,968525149,968128800,www.teatroromanocartagena.org,fundacion@teatroromanocartagena.org
2019/01 situacion a  01/01/2019,Región de Murcia,13-30-011-H-H-000,FUNDACIONES,,Fundación Cante de las Minas,G30847586,0,La gestión del Festival Internacional del Cante de las Minas,Privado,Estimativo,Si - CCAA                          ,ESCRITURA nº 489/10 de 18 de febrero de 2010,01/07/2010, ,Calle Mayor . Ayto. de la Unión 55,La Unión,30360,Murcia,,,,
2019/01 situacion a  01/01/2019,Región de Murcia,13-30-001-C-C-000,CONSORCIOS,,C. Servicio Extinción de Incendios y Salvamento C.A. Región de Murcia,P3000009E,"0,00",Prestación de los servicios de extinción de incendios y salvamento en los entes consorciados.,Público,Limitativo,Si - CCAA                          ,ACTA de constitución de 30/06/1992,30/06/1992, ,Avenida Mariano Rojas (Edif. Expo Murcia) s/n,Murcia,30080,Murcia,968366900,968366913,www.ceismurcia.com,ana.garcia3@carm.es
2019/01 situacion a  01/01/2019,Región de Murcia,13-30-002-C-C-000,CONSORCIOS,,Consorcio Gestión de  Residuos Sólidos Región  de Murcia (COGERMU),P8090001B,"0,00","Estudio, implantación y gestión del servicio de residuos sólidos, y demás aspectos relacionados directa o indirectamente con el proceso",Público,Limitativo,Si - CCAA                          ,"ACTA de sesión constituyente, de  30/11/1994",30/11/1994, ,"Calle Villaleal 2, 2º",Murcia,30001,Murcia,968226532,968226533,,l.esteve@cogersol.com; margaritar.andreu@carm.es
2019/01 situacion a  01/01/2019,Región de Murcia,13-30-005-C-C-000,CONSORCIOS,,Consorcio Depósito Franco de Cartagena,V30606560,0,"Prestación de servicios de almacenaje de mercancias en régimen de depósito franco, y gestión del Centro de Transportes de Cartagena",Privado,Estimativo,No -                               ,"ESCRITURA Nº 1.709, de 11/06/1993",11/06/1993, ,Calle Maestro José Palmís s/n,Lo Campano (Cartagena),30202,Murcia,968508081,968508106,,depositofranco@depositodecartagena.com
2019/01 situacion a  01/01/2019,Región de Murcia,13-30-012-C-C-000,CONSORCIOS,,Consorcio de las Vías Verdes de la Región de Murcia,P3000025A,0,"Creación, explotación y mantenimiento de la vía verde del noroeste.",Público,Limitativo,Si - CCAA                          ,CONVENIO colaboración de 04/03/2003 BORM nº 66 de 21/03/03,04/03/2003, ,Plaza Julian Romea 4,Murcia,30001,Murcia,968277686,968277742,,antoniof.garcia2@carm.es
2019/01 situacion a  01/01/2019,Región de Murcia,13-30-014-C-C-000,CONSORCIOS,,C. Constru. y Financ. piscina cubierta climatizada en Alguazas,P3000028E,0,Construcción piscina climatizada en Alguazas.,Público,Limitativo,Si - CCAA                          ,CONVENIO de  Colaboración de 16/10/2002,16/10/2002, ,Plaza Enrique Tierno Galván 1,Alguazas,30560,Murcia,968620022,968620412,,m.cava@ayto-alguazas.com    /   ALCALDE@AYTO-ALGUAZAS.COM
2019/01 situacion a  01/01/2019,Región de Murcia,13-30-020-C-C-000,CONSORCIOS,,C. para el Centro Regional Asociado de la U.N.E.D. Cartagena,V30614143,0,"Facilitar la educación superior a aquellos que no pueden frecuentar las aulas universitarias, y el mantenimiento del Centro Asociado.",Público,Limitativo,Si - Estado                        ,CONVENIO de colaboración de 23/10/1989,23/10/1989, ,Calle Ingeniero de la Cierva s/n,Cartagena,30202,Murcia,968120511,968520611,www.unedcartagena.net,secretaria@cartagena.uned.es
2019/01 situacion a  01/01/2019,Región de Murcia,13-30-023-C-C-000,CONSORCIOS,,Consorcio Marina de Cope,S3000013G,0,"Impulso, desarrollo, gestión y ejecución  de la Actuación de Interés Regional Marina de Cope.",Público,Limitativo,Si - CCAA                          ,CONVENIO Colaboración de 03/12/04 BORM nº 297 de 24/12/04,03/12/2004, ,Plaza Julián Romea 4,Murcia,30071,Murcia,968418878,,www.carm.es/ctyc,jcanas@ayuntamientodeaguilas.org
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-B-000,A. G. COMUNIDAD AUTÓNOMA,,Comunidad Autónoma del País Vasco,S4833001C,0,Autogobierno de la Comunidad Auónoma de Euskadi.,Público,Limitativo,Si - CCAA                          ,"LEY ORGANICA 3/1979, 18-12 (BOE de 22 de Diciembre de 1979)",11/01/1980, ,Calle Donostita-San Sebastián 1,Vitoria,01010,Gasteiz (Alava),945017900,945017832,www.euskadi.eus,comunicacion@ej-gv.es
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-001,SOCIEDADES MERCANTILES,C. Autónoma,"Gasteiz Irratia-Radio Vitoria, S.A. (Sociedad Unipersonal)",A01026699,"1.058.967,00",Producción y difusión de sonidos mediante emisiones radio-eléctricas,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 30/03/1984 (Decreto 77/1984, 20-03)",30/03/1984, ,"Calle Domingo Martínez de Aragón 5-7, baj",Vitoria-Gasteiz,01006,Álava,9450125,,www.eitb.com,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-002,SOCIEDADES MERCANTILES,C. Autónoma,"Euskal Telebista - Televisión Vasca, S.A. (Sociedad Unipersonal)",A48139232,"50.956.043,43",Producción y transmisión de imágenes y sonidos a través de ondas o cables,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 04/11/1982 (Dec. 157/1982, 19-7)",04/11/1982, ,Calle Capuchinos de Basurto 2,Bilbao,48013,Vizcaya,9465630,9465630,www.eitb.com,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-003,SOCIEDADES MERCANTILES,C. Autónoma,"Eusko Irratia-Radiodifusión Vasca, S.A. (Sociedad Unipersonal)",A48139224,"550.828,08",Producción y difusión de sonidos mediante emisiones radioeléctricas a través de ondas y cables,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 04/11/1982 (Dec.158/1982, 19-07)",04/11/1982, ,Calle Capuchinos de Basurto 2,Bilbao,48013,Bizkaia,946563000,,www.eitb.com,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-004,SOCIEDADES MERCANTILES,C. Autónoma,"Eusko Jaurlaritzaren lnformatika Elkartea, A.B. - Sociedad Informática del Gobierno Vasco, S.A. (EJIE)",A01022664,"15.538.764,85",Prestación de servicios informáticos,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 20/04/1982 (Dec.60/1982, 01-02)",20/04/1982, ,Avenida del Mediterráneo 14,Vitoria-Gasteiz,01010,Álava,945017300,945017301,www.ejie.eus,ejie@ejie.eus
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-005,SOCIEDADES MERCANTILES,C. Autónoma,"Orquesta de Euskadi, S.A.",A20077541,"1.273.000,00",Fomento y difusión del arte y actividad musical,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 20/04/1982 (Dec.62/1982, 15-02)",20/04/1982, ,Paseo Miramon 124,San Sebastian,20014,Guipúzcoa,943013232,943308324,www.euskadikoorkestra.eus,
